,FileLocation,Site,Starts.at,Month,Year
85,May2023_FishSurveys/YA230508/P5080339.MOV,YZ,0:08,May,2023
87,May2023_FishSurveys/YA230508/P5080340.MOV,YZ,0:09,May,2023
88,May2023_FishSurveys/YA230508/P5080341.MOV,YZ,0:09,May,2023
89,May2023_FishSurveys/TK230507/P5070317.MOV,TK,0:07,May,2023
90,May2023_FishSurveys/JS230509/P5090349.MOV,JS,0:09,May,2023
92,May2023_FishSurveys/JS230509/P5090350.MOV,JS,0:05,May,2023
93,May2023_FishSurveys/TK230507/P5070316.MOV,TK,0:18,May,2023
94,May2023_FishSurveys/YA230508/P5080342.MOV,YZ,0:07,May,2023
95,Nov2017_FishSurveys/BOOBY171124-2.MOV,BR,0:16,November,2017
96,Nov2018_FishSurveys_WS/Booby Rock/P1010053.MOV,BR,0:05,November,2018
97,Nov2018_FishSurveys_WS/Cocoloba/P1010033.MOV,CL,0:06,November,2018
99,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010028.MOV,JS,0:05,November,2018
100,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey8.MOV,JS,0:19,November,2019
101,Nov2017_FishSurveys/TEK171124-3.MOV,TK,0:08,November,2017
102,Nov2018_FishSurveys_WS/Tektite/P1010001.MOV,TK,0:08,November,2018
103,Nov2017_FishSurveys/YAWZ171124-1.MOV,YZ,0:14,November,2017
104,Nov2018_FishSurveys_WS/Yawzi/P1010042.MOV,YZ,0:08,November,2018
105,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey4.MOV,JS,0:25,November,2019
106,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey5.MOV,CL,0:17,November,2019
107,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey5.MOV,JS,0:25,November,2019
108,Nov2017_FishSurveys/TEK171124-1.MOV,TK,0:05,November,2017
109,Nov2018_FishSurveys_WS/Yawzi/P1010044.MOV,YZ,0:17,November,2018
110,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey5.MOV,YZ,0:12,November,2019
111,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010029.MOV,JS,0:08,November,2018
112,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010027.MOV,JS,0:11,November,2018
113,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey3.MOV,BR,0:27,November,2019
114,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey4.MOV,CL,0:19,November,2019
115,Nov2017_FishSurveys/TEK171124-2.MOV,TK,0:10,November,2017
116,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey6.MOV,JS,0:25,November,2019
117,Nov2017_FishSurveys/YAWZ171124-3.MOV,YZ,0:10,November,2017
118,Nov2018_FishSurveys_WS/Tektite/P1010003.MOV,TK,0:18,November,2018
120,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey2.MOV,YZ,0:12,November,2019
121,Nov2017_FishSurveys/BOOBY171124-1.MOV,BR,0:12,November,2017
122,Nov2018_FishSurveys_WS/Booby Rock/P1010054.MOV,BR,0:05,November,2018
123,Nov2017_FishSurveys/BOOBY171124-3.MOV,BR,0:20,November,2017
124,Nov2018_FishSurveys_WS/Cocoloba/P1010034.MOV,CL,0:10,November,2018
125,Nov2017_FishSurveys/YAWZ171124-2.MOV,YZ,0:15,November,2017
126,October2016/BoobyOct2016/PA210002.MOV,BR,0:10,October,2016
127,Oct2021_FishSurveys/Booby Rock 102521/PA250046.MOV,BR,0:08,October,2021
128,October2016/CocolabaOct2016/PA220102.MOV,CL,0:15,October,2016
129,Oct2021_FishSurveys/Cocoloba 102421/P1010021.MOV,CL,0:25,October,2021
130,October2016/JoelsShoalOct2016/PA220138.MOV,JS,0:18,October,2016
131,Oct2021_FishSurveys/Joels Shoal 102421/P1010019.MOV,JS,0:10,October,2021
132,October2016/TektiteOct2016/PA210009.MOV,TK,0:10,October,2016
133,Oct2022_FishSurveys_2Sites/TK/PB050174.MOV,TK,0:10,October,2022
134,October2016/YawziOct2016/PA230107.MOV,YZ,0:09,October,2016
135,Oct2021_FishSurveys/Tektite redo 102721/PA270046.MOV,TK,0:04,October,2021
136,October2016/TektiteOct2016/PA210011.MOV,TK,0:04,October,2016
137,October2016/YawziOct2016/PA230109.MOV,YZ,0:08,October,2016
138,Oct2022_FishSurveys_2Sites/TK/PB050175.MOV,TK,0:07,October,2022
139,October2016/YawziOct2016/PA230108.MOV,YZ,0:18,October,2016
140,Oct2022_FishSurveys_2Sites/TK/PB050168.MOV,TK,0:07,October,2022
141,Oct2021_FishSurveys/Cocoloba 102421/P1010023.MOV,CL,0:08,October,2021
142,Oct2021_FishSurveys/Yawzi 102721/PA270052.MOV,YZ,0:05,October,2021
143,Oct2021_FishSurveys/Booby Rock 102521/PA250045.MOV,BR,0:13,October,2021
144,Oct2022_FishSurveys_2Sites/TK/PB050169.MOV,TK,0:08,October,2022
145,Oct2021_FishSurveys/Yawzi 102721/PA270055.MOV,YZ,0:08,October,2021
146,Oct2021_FishSurveys/Cocoloba 102421/P1010024.MOV,CL,0:17,October,2021
147,October2016/CocolabaOct2016/PA220104.MOV,CL,0:12,October,2016
148,Oct2021_FishSurveys/Joels Shoal 102421/P1010017.MOV,JS,0:12,October,2021
149,October2016/TektiteOct2016/PA210015.MOV,TK,0:10,October,2016
150,October2016/BoobyOct2016/PA210006.MOV,BR,0:18,October,2016
151,October2016/BoobyOct2016/PA210004.MOV,BR,0:06,October,2016
152,Oct2022_FishSurveys_2Sites/TK/PB050170.MOV,TK,0:08,October,2022
153,Oct2021_FishSurveys/Joels Shoal 102421/P1010020.MOV,JS,0:51,October,2021
154,Oct2021_FishSurveys/Cocoloba 102421/P1010022.MOV,CL,0:13,October,2021
156,Oct2021_FishSurveys/Tektite redo 102721/PA270044.MOV,TK,0:03,October,2021
157,October2016/CocolabaOct2016/PA220103.MOV,CL,0:09,October,2016
158,October2016/CocolabaOct2016/PA220100.MOV,CL,0:11,October,2016
160,072017/Joel_Shoal_170726_T1.MOV,JS,0:27,July,2017
162,Apr2019_FishSurveys_WS/BR/P1010002_portion of first trasect.MOV,BR,0:00,Apr,2019
