,FileLocation,Site,QC,Front.or.Downward.Facing.Camera.,Manually.Counted.,Starts.at,Notes,Month,Month.Numeral,Year
180,July2022_FishSurveys/JS/P7260009.MOV,JS,1,F,,0:05,,July,7,2022
183,072017/BR1.MOV,BR,1,F,maybe,1:22,,July,7,2017
1,Summer2016/Booby30mTransects060916/P1010001.MOV,BR,1,F,maybe,0:25,,June,6,2016
12,Summer2016/Cocolaba30mTransects060916/P1010019.MOV,CL,1,F,maybe,0:10,,June,6,2016
23,Summer2016/JoelsShoal30mTransects061016/P6100003.MOV,JS,1,F,maybe,1:02,,June,6,2016
36,Summer2016/TEK10mTransects060716/P6070004.MOV,TK,1,F,no,0:22,,June,6,2016
49,Summer2016/Yawzi30mTransects060816/P6080008.MOV,YZ,1,F,maybe,1:00,,June,6,2016
60,Summer2016/Yawzi30mTransects060816/P6080010.MOV,YZ,1,F,maybe,0:12,,June,6,2016
80,Summer2016/Tektite30mTransects060816/P6080054.MOV,TK,1,F,maybe,1:04,,June,6,2016
82,Summer2016/JoelsShoal30mTransects061016/P6100005.MOV,JS,1,F,maybe,0:20,,June,6,2016
85,Summer2016/Yawzi30mTransects060816/P6080014.MOV,YZ,1,F,maybe,0:12,,June,6,2016
86,Summer2016/JoelsShoal30mTransects061016/P6100001.MOV,JS,1,F,maybe,0:10,,June,6,2016
95,Summer2016/Booby30mTransects060916/P1010003.MOV,BR,1,F,maybe,0:41,,June,6,2016
99,Summer2016/Tektite30mTransects060816/P6080056.MOV,TK,1,F,maybe,0:18,,June,6,2016
115,Summer2016/TEK10mTransects060716/P6070008.MOV,TK,1,F,no,0:07,,June,6,2016
128,Summer2016/JoelsShoal30mTransects061016/P6100007.MOV,JS,1,F,maybe,0:26,,June,6,2016
138,Summer2016/Booby30mTransects060916/P1010007.MOV,BR,1,F,maybe,0:14,,June,6,2016
140,Summer2016/TEK10mTransects060716/P6070006.MOV,TK,1,F,no,0:10,,June,6,2016
147,Summer2016/Tektite30mTransects060816/P6080052.MOV,TK,1,F,maybe,0:20,,June,6,2016
165,Summer2016/Booby30mTransects060916/P1010005.MOV,BR,1,F,maybe,0:20,,June,6,2016
172,Summer2016/TEK10mTransects060716/P6070012.MOV,TK,1,F,no,0:07,,June,6,2016
174,Summer2016/TEK10mTransects060716/P6070010.MOV,TK,1,F,no,0:18,,June,6,2016
4,Mar2017_FishSurveys/BR/P3240049.MOV,BR,1,F,,0:19,,March,3,2017
26,Mar2017_FishSurveys/JS/P3270141.MOV,JS,1,F,,0:30,,March,3,2017
39,Mar2017_FishSurveys/TK/P3250066.MOV,TK,1,F,,0:36,,March,3,2017
51,Mar2017_FishSurveys/YZ/P3250083.MOV,YZ,1,F,,0:27,,March,3,2017
78,Mar2017_FishSurveys/BR/P3240044.MOV,BR,1,F,,0:24,,March,3,2017
90,Mar2017_FishSurveys/YZ/P3250079.MOV,YZ,1,F,,0:29,,March,3,2017
101,Mar2017_FishSurveys/BR/P3240036.MOV,BR,1,F,,0:23,,March,3,2017
119,Mar2017_FishSurveys/JS/P3270144.MOV,JS,1,F,,0:39,,March,3,2017
137,Mar2017_FishSurveys/JS/P3270143.MOV,JS,1,F,,0:44,,March,3,2017
139,Mar2017_FishSurveys/BR/P3240033.MOV,BR,1,F,,0:21,,March,3,2017
149,Mar2017_FishSurveys/JS/P3270145.MOV,JS,1,F,,0:51,,March,3,2017
160,Mar2017_FishSurveys/TK/P3250058.MOV,TK,1,F,,0:15,,March,3,2017
11,May2023_FishSurveys/BR230508/P5080327.MOV,BR,1,F,,0:06,,May,5,2023
22,May2023_FishSurveys/CO230509/P5090354.MOV,CL,1,F,,0:07,,May,5,2023
35,May2023_FishSurveys/JS230509/P5090347.MOV,JS,1,F,,0:05,,May,5,2023
48,May2023_FishSurveys/TK230507/P5070315.MOV,TK,1,F,,0:24,,May,5,2023
59,May2023_FishSurveys/YA230508/P5080339.MOV,YZ,1,F,,0:08,,May,5,2023
63,May2023_FishSurveys/JS230509/P5090348.MOV,JS,1,F,,0:04,,May,5,2023
65,May2023_FishSurveys/TK230507/P5070314.MOV,TK,1,F,,0:12,,May,5,2023
72,May2023_FishSurveys/YA230508/P5080340.MOV,YZ,1,F,,0:09,,May,5,2023
94,May2023_FishSurveys/YA230508/P5080341.MOV,YZ,1,F,,0:09,,May,5,2023
111,May2023_FishSurveys/TK230507/P5070317.MOV,TK,1,F,,0:07,,May,5,2023
127,May2023_FishSurveys/JS230509/P5090349.MOV,JS,1,F,,0:09,,May,5,2023
146,May2023_FishSurveys/BR230508/P5080326.MOV,BR,1,F,,0:04,,May,5,2023
150,May2023_FishSurveys/JS230509/P5090350.MOV,JS,1,F,,0:05,,May,5,2023
184,May2023_FishSurveys/TK230507/P5070316.MOV,TK,1,F,,0:18,,May,5,2023
185,May2023_FishSurveys/YA230508/P5080342.MOV,YZ,1,F,,0:07,,May,5,2023
5,Nov2017_FishSurveys/BOOBY171124-2.MOV,BR,1,F,maybe,0:16,,November,11,2017
7,Nov2018_FishSurveys_WS/Booby Rock/P1010053.MOV,BR,1,F,,0:05,,November,11,2018
9,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey2.MOV,BR,1,F,,0:20,,November,11,2019
16,Nov2018_FishSurveys_WS/Cocoloba/P1010033.MOV,CL,1,F,,0:06,,November,11,2018
17,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey2.MOV,CL,1,F,,0:52,,November,11,2019
28,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010028.MOV,JS,1,F,,0:05,,November,11,2018
30,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey8.MOV,JS,1,F,,0:19,,November,11,2019
40,Nov2017_FishSurveys/TEK171124-3.MOV,TK,1,F,,0:08,,November,11,2017
41,Nov2018_FishSurveys_WS/Tektite/P1010001.MOV,TK,1,F,no,0:08,,November,11,2018
52,Nov2017_FishSurveys/YAWZ171124-1.MOV,YZ,1,F,,0:14,,November,11,2017
53,Nov2018_FishSurveys_WS/Yawzi/P1010042.MOV,YZ,1,F,,0:08,,November,11,2018
55,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey4.MOV,YZ,1,F,,0:12,,November,11,2019
70,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey4.MOV,JS,1,F,,0:25,,November,11,2019
75,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey5.MOV,CL,1,F,,0:17,,November,11,2019
79,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey5.MOV,JS,1,F,,0:25,,November,11,2019
96,Nov2017_FishSurveys/TEK171124-1.MOV,TK,1,F,,0:05,,November,11,2017
98,Nov2018_FishSurveys_WS/Yawzi/P1010044.MOV,YZ,1,F,,0:17,,November,11,2018
100,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey5.MOV,YZ,1,F,,0:12,,November,11,2019
105,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010029.MOV,JS,1,F,,0:08,,November,11,2018
107,Nov2018_FishSurveys_WS/Joel_s Shoal/P1010027.MOV,JS,1,F,,0:11,,November,11,2018
112,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey6.MOV,BR,1,F,,0:20,,November,11,2019
113,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey3.MOV,BR,1,F,,0:27,,November,11,2019
116,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey4.MOV,CL,1,F,,0:19,,November,11,2019
117,Nov2017_FishSurveys/TEK171124-2.MOV,TK,1,F,,0:10,,November,11,2017
118,Fall2019_FishSurveys/USVI_Fall2019_JoelsShoal_FishSurvey6.MOV,JS,1,F,,0:25,,November,11,2019
126,Nov2017_FishSurveys/YAWZ171124-3.MOV,YZ,1,F,,0:10,,November,11,2017
129,Nov2018_FishSurveys_WS/Tektite/P1010003.MOV,TK,1,F,no,0:18,,November,11,2018
132,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey1.MOV,BR,1,F,,0:20,,November,11,2019
133,Fall2019_FishSurveys/USVI_Fall2019_Yawzi_FishSurvey2.MOV,YZ,1,F,,0:12,,November,11,2019
141,Nov2017_FishSurveys/BOOBY171124-1.MOV,BR,1,F,maybe,0:12,,November,11,2017
152,Fall2019_FishSurveys/USVI_Fall2019_Coco_FishSurvey1.MOV,CL,1,F,,0:36,,November,11,2019
159,Fall2019_FishSurveys/USVI_Fall2019_BoobyRock_FishSurvey5.MOV,BR,1,F,,0:25,,November,11,2019
161,Nov2018_FishSurveys_WS/Booby Rock/P1010054.MOV,BR,1,F,,0:05,,November,11,2018
168,Nov2017_FishSurveys/BOOBY171124-3.MOV,BR,1,F,maybe,0:20,,November,11,2017
181,Nov2018_FishSurveys_WS/Cocoloba/P1010034.MOV,CL,1,F,,0:10,,November,11,2018
182,Nov2017_FishSurveys/YAWZ171124-2.MOV,YZ,1,F,,0:15,,November,11,2017
2,October2016/BoobyOct2016/PA210002.MOV,BR,1,F,no,0:10,,October,10,2016
10,Oct2021_FishSurveys/Booby Rock 10:25:21/PA250046.MOV,BR,1,F,,0:08,,October,10,2021
13,October2016/CocolabaOct2016/PA220102.MOV,CL,1,F,no,0:15,,October,10,2016
20,Oct2021_FishSurveys/Cocoloba 10:24:21/P1010021.MOV,CL,1,F,,0:25,,October,10,2021
24,October2016/JoelsShoalOct2016/PA220138.MOV,JS,1,F,no,0:18,,October,10,2016
33,Oct2021_FishSurveys/Joels Shoal 10:24:21/P1010019.MOV,JS,1,F,,0:10,,October,10,2021
37,October2016/TektiteOct2016/PA210009.MOV,TK,1,F,no,0:10,,October,10,2016
45,Oct2021_FishSurveys/Tektite redo 102721/PA270045.MOV,TK,1,F,,0:04,,October,10,2021
47,Oct2022_FishSurveys_2Sites/TK/PB050174.MOV,TK,1,F,,0:10,,October,10,2022
50,October2016/YawziOct2016/PA230107.MOV,YZ,1,F,no,0:09,,October,10,2016
58,Oct2021_FishSurveys/Yawzi 102721/PA270054.MOV,YZ,1,F,,0:07,,October,10,2021
61,Oct2021_FishSurveys/Tektite redo 102721/PA270046.MOV,TK,1,F,,0:04,,October,10,2021
66,October2016/TektiteOct2016/PA210011.MOV,TK,1,F,no,0:04,,October,10,2016
68,October2016/YawziOct2016/PA230109.MOV,YZ,1,F,no,0:08,,October,10,2016
73,Oct2022_FishSurveys_2Sites/TK/PB050175.MOV,TK,1,F,,0:07,,October,10,2022
83,October2016/YawziOct2016/PA230108.MOV,YZ,1,F,no,0:18,,October,10,2016
88,Oct2022_FishSurveys_2Sites/TK/PB050168.MOV,TK,1,F,,0:07,,October,10,2022
89,Oct2021_FishSurveys/Cocoloba 10:24:21/P1010023.MOV,CL,1,F,,0:08,,October,10,2021
92,Oct2021_FishSurveys/Yawzi 102721/PA270052.MOV,YZ,1,F,,0:05,,October,10,2021
97,Oct2021_FishSurveys/Booby Rock 10:25:21/PA250045.MOV,BR,1,F,,0:13,,October,10,2021
102,Oct2022_FishSurveys_2Sites/TK/PB050169.MOV,TK,1,F,,0:08,,October,10,2022
103,Oct2021_FishSurveys/Yawzi 102721/PA270055.MOV,YZ,1,F,,0:08,,October,10,2021
108,Oct2021_FishSurveys/Cocoloba 10:24:21/P1010024.MOV,CL,1,F,,0:17,,October,10,2021
125,October2016/CocolabaOct2016/PA220104.MOV,CL,1,F,no,0:12,,October,10,2016
130,Oct2021_FishSurveys/Joels Shoal 10:24:21/P1010017.MOV,JS,1,F,,0:12,,October,10,2021
136,October2016/TektiteOct2016/PA210015.MOV,TK,1,F,no,0:10,,October,10,2016
143,October2016/BoobyOct2016/PA210006.MOV,BR,1,F,no,0:18,,October,10,2016
153,Oct2021_FishSurveys/Yawzi 102721/PA270053.MOV,YZ,1,F,,0:08,,October,10,2021
154,October2016/BoobyOct2016/PA210004.MOV,BR,1,F,no,0:06,,October,10,2016
156,Oct2022_FishSurveys_2Sites/TK/PB050170.MOV,TK,1,F,,0:08,,October,10,2022
158,Oct2021_FishSurveys/Joels Shoal 10:24:21/P1010020.MOV,JS,1,F,,0:51,,October,10,2021
162,October2016/BoobyOct2016/PA210008.MOV,BR,1,F,no,0:15,,October,10,2016
163,Oct2021_FishSurveys/Cocoloba 10:24:21/P1010022.MOV,CL,1,F,,0:13,,October,10,2021
167,October2016/YawziOct2016/PA230106.MOV,YZ,1,F,no,0:09,,October,10,2016
170,Oct2021_FishSurveys/Tektite redo 102721/PA270044.MOV,TK,1,F,,0:03,,October,10,2021
175,October2016/CocolabaOct2016/PA220103.MOV,CL,1,F,no,0:09,,October,10,2016
178,October2016/CocolabaOct2016/PA220100.MOV,CL,1,F,no,0:11,,October,10,2016
